hash	study_hash	study_id	analysis_id	analysis_summary	analysis_type	instrument_name	instrument_type	ms_type	ion_mode
24d9e50a6b728b5467aa4847e98359a3e35c2492	9b2031154728bc7319577b35fefd0cc2f41b1af1	ST000142	AN000225	MS positive ion mode	MS	Bruker SolariX FT-ICR-MS	FT-ICR-MS	ESI	POSITIVE
ff73dffe6c042bc8836d2c8ab98c4338e61aa2fc	3871b20d8bd76680765db77a162431ac1c23511b	ST000143	AN000226	ESI negative ion mode	MS	Agilent 6520 QTOF	QTOF	ESI	NEGATIVE
c2ed2393b4370e0a512e9cc115c5d3d776683872	3871b20d8bd76680765db77a162431ac1c23511b	ST000143	AN000227	EI positive ion mode	MS	Agilent 5975C	Single quadrupole	EI	POSITIVE
ac691747e2a5bd6577c49e26cdb1f49f118e6e96	fbcdb9576416da3ac79724710123496548143ee3	ST000144	AN000228	LCMS	MS	Agilent 6520 QTOF	QTOF	ESI	NEGATIVE
1b2e31727ebf5694199eaba4d3a75d8a58946d38	fbcdb9576416da3ac79724710123496548143ee3	ST000144	AN000229	GCMS	MS	Agilent 5975C	Single quadrupole	EI	POSITIVE
6e1e11a29a088140b57984e5e9e2a0a67bd552d1	ddd1ab7d0bd22a2d1d6ad4c59b0454cead79d564	ST000145	AN000230	LCMS Negative ion mode	MS	Agilent 6520 QTOF	QTOF	ESI	NEGATIVE
a6d310fe84d13efb6d29b251bdcdac0ec96168f1	ddd1ab7d0bd22a2d1d6ad4c59b0454cead79d564	ST000145	AN000231	GCMS Positive ion mode	MS	Agilent 5975C	Single quadrupole	EI	POSITIVE
c1ccb68fb4ab871bbdec0f0ef6810f4d97085b8f	a56a9e2baebbe5c260ef06bd5e11e0c0eba541ec	ST000146	AN000232	ESI/QTOF negative ion mode	MS	Agilent 6520 QTOF	QTOF	ESI	NEGATIVE
0187f91e586c0df64f818b06981816c2d795c40c	adccd664272405120e41bd81b24b8a5caee04229	ST000147	AN000233	Negative ion mode	MS	Agilent 6520 QTOF	QTOF	ESI	NEGATIVE
b955fa451e1081b909ee7c40e599475f6f2a828f	adccd664272405120e41bd81b24b8a5caee04229	ST000147	AN000234	Positive ion mode	MS	Agilent 5975C	Single quadrupole	EI	POSITIVE
b33f4b87075d4d573f855ce1d3084a6216f02c3a	93dc613e1991f9fc2abbeb794852dfbfe0b76945	ST000148	AN000235	ESI positive ion mode	MS	Bruker SolariX FT-ICR-MS	FT-ICR-MS	ESI	POSITIVE
ed704af350b5803bf4e175f7c55c78efaf8df37e	cf602ea53809657e1c146f0879c1e4dd37470020	ST000149	AN000236	ESI positive ion mode	MS	ABI Sciex API 5000 QQQ	Triple quadrupole	ESI	POSITIVE
c9fe2c29c51dd5bc2c35f5762a54f0eafc7f760b	5c44cdd4a33f03f0b2b0d25f3ddd3154d6e58f68	ST000150	AN000237	NMR 1D-1H	NMR	NA	FT-NMR	NA	NA
204ad6f1bbe4c5145bb5c4e3fe01f5edc6c3a1a1	6ed6ecd7922fb4b7e26405c20fc52397ccf35542	ST000153	AN000244	ESI/QTOF negative ion mode	MS	Agilent 6520 QTOF	QTOF	ESI	NEGATIVE
eac0be7b6c4d7daeb015add0770e33a5b6388389	ea82a738eef189a47f72c9fdbaf11e90fe8876ad	ST000154	AN000245	ESI negative ion mode	MS	Agilent 6520 QTOF	QTOF	ESI	NEGATIVE
ea8474821960dff2c9edd0d351fc0f81932d1431	ea82a738eef189a47f72c9fdbaf11e90fe8876ad	ST000154	AN000246	ESI positive ion mode	MS	Agilent 5975C	Single quadrupole	EI	POSITIVE
5c5da26a91bd299da792b9a4ad3b1a95ff3990ee	1382ee1956879ca2314aa442c174497662b600ab	ST000155	AN000247	ESI negative ion mode	MS	Agilent 6520 QTOF	QTOF	ESI	NEGATIVE
3c4e2d676004479b26e6abb090a2b0e7a6bbf302	89e80139343f64c7b700116daaaa95369a49d0b2	ST000156	AN000248	ESI negative ion mode	MS	Agilent 6520 QTOF	QTOF	ESI	NEGATIVE
13b696605eb1ee74cd3587d8a6df2d8e27a225a6	020b3c702f2347431e1fd573e3a676c7ed1f1768	ST000157	AN000448	ESI/QTOF negative ion mode	MS	Agilent 6520 QTOF	QTOF	ESI	NEGATIVE
3f12602d41c4da29791d3598cf0538a4dd3350be	c446102e346bc596ae4a6026bdd92cdb857192b5	ST000158	AN000250	ESI negative ion mode	MS	Agilent 6520 QTOF	QTOF	ESI	NEGATIVE
0c3c26ae09cd569416b1b71b52158efdcec681b7	fdb1e7c747309cb1d37c5c511e82461852828205	ST000159	AN000251	ESI negative ion mode	MS	Agilent 6520 QTOF	QTOF	ESI	NEGATIVE
8385fd0be61bda82752c1fae63b2d61b3942fc8f	ef2e135a273c54f80586b1cbac65b0be1ed95417	ST000160	AN000252	ESI positive ion mode	MS	Agilent 6530 QTOF	QTOF	ESI	POSITIVE
e9471b1ffa5c11bd23926b4f9c9d47e0b2e189e0	3e73f2ad1a378bf3b9b7ef1de15372d5b669892a	ST000161	AN000253	ESI negative ion mode	MS	Agilent 6520 QTOF	QTOF	ESI	NEGATIVE
be9db410513b971b818ac97b585b7ea891b9f014	e4dfc18332d2734773760fe9006a00930491fe70	ST000162	AN000254	ESI negative ion mode	MS	Agilent 6520 QTOF	QTOF	ESI	NEGATIVE
ffd10708ed9ffbc1b793b9b2a9c63741e18525ef	5be74f92e073da06a7a4d9f6440d265168f82b74	ST000163	AN000255	HESI positive ion mode	MS	Thermo LTQ	Single quadrupole	ESI	POSITIVE
447d03571a9a672303fa4ba2fde97b03c1b135e3	4240e2d5d99d7bd1c8c82d8304c7197f60839992	ST000164	AN000256	ESI positive ion mode	MS	Thermo Q Exactive Orbitrap	Orbitrap	ESI	POSITIVE
3b2ca0eda080e2d65c211f66115fbe307da23c7e	4240e2d5d99d7bd1c8c82d8304c7197f60839992	ST000164	AN000257	ESI negative ion mode	MS	Thermo Q Exactive Orbitrap	Orbitrap	ESI	NEGATIVE
b6f6aef91345e7e91a96dd60defdc80f3cdf1cd9	b6639dbe00517ac0fa317f36456b8b4bc7ceaad1	ST000165	AN000258	MS negative ion mode	MS	Thermo DeltaPlus Isotope Ratio MS	IR MS	IR MS	NEGATIVE
de9ae9f0d80d05c134c65a7c883ff37e61281bf5	be842b6a2bbcff2c07c5e8708c69376d395a502e	ST000166	AN000259	GCMS positive ion mode	MS	Agilent 5973	Single quadrupole	EI	POSITIVE
941eb28ce3b26268439c3d3d875e1d3c92500061	dc3d24748d6bf609056954ebb246e83fcdd8d60e	ST000167	AN000261	ESI positive ion mode	MS	NA	Triple quadrupole	ESI	POSITIVE
d5b440d2ce5587dd46ecef6fbc932c92dfab17eb	28a70a8cfb859a1c10bbf81070e8b310f44c5cde	ST000168	AN000262	ESI positive ion mode	MS	Thermo Quantum Ultra	Triple quadrupole	ESI	POSITIVE
b70c3b4698a8dea9759b2084fcf6bcea4a193e3b	8666ae32e3df8eb0a846e38091fc149ffcdcddeb	ST000169	AN000263	ESI negative ion mode	MS	Agilent 6520 QTOF	QTOF	ESI	NEGATIVE
eeec084f05f0ec7fe36d48c358e4d782086d07aa	d9d61b45f93a6c519365e737980cdaf2ca3759ea	ST000170	AN000447	ESI/QTOF negative ion mode	MS	Agilent 6520 QTOF	QTOF	ESI	NEGATIVE
064e46a88555ca92143946aa66913ae007d205ad	39800e3247b168ee2779479fc9ba79853da5e9fc	ST000171	AN000265	ESI positive ion mode	MS	Agilent 5975C	Single quadrupole	EI	POSITIVE
709fad2d04ea7a839cbdc9b2b5da5c6581f4fa6a	35892fac6da402fec3b106d3daf8baab2ba3843f	ST000172	AN000266	ESI negative ion mode	MS	Agilent 6520 QTOF	QTOF	ESI	NEGATIVE
2855c1db848cf2c8135ddaa1def630bce764510b	004349a753f3df05820b5aca72bce19848639f02	ST000173	AN000267	ESI negative ion mode	MS	Agilent 6520 QTOF	QTOF	ESI	NEGATIVE
e0d4b6bfa68aeca146303f8f5d646a15588b0bb9	5fea6725bb2923f72b5337e23ed243573a55fa37	ST000174	AN000268	ESI negative ion mode	MS	Agilent 6530 QTOF	QTOF	ESI	NEGATIVE
f8ff05b1e1e2e160f38d471ada438d69ec57abf4	cd91b22a8fc9bc71bcde64a6cbcbd44815c44f12	ST000176	AN000270	ESI Negative ion mode	MS	Agilent 6530 QTOF	QTOF	ESI	NEGATIVE
4a0e25e97e33df1d63fde34c6d8a912fb89730a0	cd91b22a8fc9bc71bcde64a6cbcbd44815c44f12	ST000176	AN000271	GCMS Positive ion mode	MS	Agilent 5975C	Single quadrupole	EI	POSITIVE
eeff1b0acbd4129adde5882ed68740e1f745a629	7adb15a6d5464a39197924fa5458139e065c73b3	ST000178	AN000274	ESI negative ion mode	MS	Agilent 6530 QTOF	QTOF	ESI	NEGATIVE
